symbol,perp_venue,spot_venue,venue_label,quote_bridged,entry_time,exit_time,entry_ms,exit_ms,duration_days,epochs,entry_basis_bps,exit_basis_bps,funding_received,drift_quote,fees_paid,pnl_quote,pnl_pct,exit_reason,exit_reason_vi,still_open
NEARUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-23 00:00,2023-12-17 12:00,1698019200000,1702814400000,55.5,166,9.43,4.25,1264.3195,25.9294,-150.0,1140.2489,1.5203,take_profit,Chốt lời hội tụ Basis: Net PnL +1.52% trên vốn ≥ ngưỡng +1.50%,False
DOGEUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-25 00:00,2023-12-09 17:00,1698192000000,1702141200000,45.708,137,6.0,7.09,1290.7695,-5.4517,-155.0,1130.3178,1.5071,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
NEARUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-25 08:00,2023-12-18 18:00,1698220800000,1702922400000,54.417,163,16.05,0.46,1205.908,77.9858,-155.0,1128.8938,1.5052,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
BNBUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-25 16:00,2023-12-12 21:00,1698249600001,1702414800000,48.208,144,13.4,-17.24,1130.014,153.2011,-150.0,1133.2151,1.511,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
SUIUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-26 00:00,2023-12-06 23:00,1698278400000,1701903600000,41.958,125,10.52,1.45,1242.6575,45.3708,-155.0,1133.0283,1.5107,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
DOGEUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-26 00:00,2023-12-22 15:00,1698278400001,1703257200000,57.625,172,5.83,5.33,1279.3545,2.5063,-150.0,1131.8608,1.5091,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
UNIUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-26 08:00,2023-12-25 21:00,1698307200000,1703538000000,60.542,181,6.94,7.23,1290.5395,-1.4761,-150.0,1139.0634,1.5188,take_profit,Chốt lời hội tụ Basis: Net PnL +1.52% trên vốn ≥ ngưỡng +1.50%,False
UNIUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-26 08:00,2023-12-23 05:00,1698307200000,1703307600000,57.875,173,8.56,-1.61,1246.3435,50.8601,-155.0,1142.2036,1.5229,take_profit,Chốt lời hội tụ Basis: Net PnL +1.52% trên vốn ≥ ngưỡng +1.50%,False
BNBUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-26 16:00,2023-12-13 08:00,1698336000000,1702454400000,47.667,143,5.17,-18.43,834.399,118.0213,-155.0,797.4203,1.0632,funding,Thoát funding âm kéo dài: 2 mốc liên tiếp ≤ -2.0 bps,False
XRPUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-27 00:00,2023-12-08 04:00,1698364800000,1702008000000,42.167,126,7.22,4.62,1271.83,12.988,-155.0,1129.818,1.5064,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
LINKUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-27 00:00,2023-12-21 00:00,1698364800000,1703116800000,55.0,164,6.08,3.5,1273.428,12.8641,-155.0,1131.2921,1.5084,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
SUIUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-27 08:00,2023-12-11 18:00,1698393600000,1702317600000,45.417,136,13.69,3.23,1230.6795,52.3146,-150.0,1132.9941,1.5107,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
XRPUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-28 00:00,2023-12-22 21:00,1698451200000,1703278800000,55.875,167,5.53,4.83,1283.167,3.5272,-150.0,1136.6942,1.5156,take_profit,Chốt lời hội tụ Basis: Net PnL +1.52% trên vốn ≥ ngưỡng +1.50%,False
BTCUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-28 00:00,2023-12-24 10:00,1698451200000,1703412000000,57.417,172,5.86,5.0,1284.7095,4.2906,-155.0,1134.0001,1.512,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
LINKUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-28 08:00,2023-12-24 16:00,1698480000001,1703433600000,57.333,172,5.24,10.13,1308.9445,-24.4787,-150.0,1134.4658,1.5126,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
ETHUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-28 16:00,2023-12-24 05:00,1698508800000,1703394000000,56.542,169,5.76,6.3,1283.484,-2.6818,-155.0,1125.8022,1.5011,take_profit,Chốt lời hội tụ Basis: Net PnL +1.50% trên vốn ≥ ngưỡng +1.50%,False
LTCUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-29 00:00,2023-12-26 06:00,1698537600000,1703570400000,58.25,174,7.38,4.2,1275.884,15.9125,-150.0,1141.7965,1.5224,take_profit,Chốt lời hội tụ Basis: Net PnL +1.52% trên vốn ≥ ngưỡng +1.50%,False
AAVEUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-29 00:00,2023-12-22 05:00,1698537600000,1703221200000,54.208,162,6.05,-10.03,1200.785,80.4122,-155.0,1126.1972,1.5016,take_profit,Chốt lời hội tụ Basis: Net PnL +1.50% trên vốn ≥ ngưỡng +1.50%,False
AAVEUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-29 08:00,2024-01-02 09:00,1698566400000,1704186000000,65.042,195,6.08,10.19,1315.074,-20.5437,-150.0,1144.5303,1.526,take_profit,Chốt lời hội tụ Basis: Net PnL +1.53% trên vốn ≥ ngưỡng +1.50%,False
SOLUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-29 08:00,2023-12-16 20:00,1698566400000,1702756800000,48.5,145,7.43,3.54,1261.145,19.4537,-155.0,1125.5987,1.5008,take_profit,Chốt lời hội tụ Basis: Net PnL +1.50% trên vốn ≥ ngưỡng +1.50%,False
ETHUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-30 16:00,2023-12-27 18:00,1698681600000,1703700000000,58.083,174,7.56,7.57,1285.8475,-0.0796,-150.0,1135.7679,1.5144,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
LTCUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-10-30 16:00,2023-12-16 12:00,1698681600000,1702728000000,46.833,140,5.78,4.14,1272.2825,8.1842,-155.0,1125.4667,1.5006,take_profit,Chốt lời hội tụ Basis: Net PnL +1.50% trên vốn ≥ ngưỡng +1.50%,False
BTCUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-10-31 16:00,2023-12-30 10:00,1698768000000,1703930400000,59.75,179,5.64,7.67,1285.85,-10.1541,-150.0,1125.6959,1.5009,take_profit,Chốt lời hội tụ Basis: Net PnL +1.50% trên vốn ≥ ngưỡng +1.50%,False
SOLUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-11-09 08:00,2023-12-28 11:00,1699516800000,1703761200000,49.125,147,7.34,12.11,1303.0405,-23.8658,-150.0,1129.1747,1.5056,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
SUIUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-12-07 08:00,2023-12-31 01:00,1701936000000,1703984400000,23.708,71,15.11,3.71,1235.806,56.9688,-155.0,1137.7748,1.517,take_profit,Chốt lời hội tụ Basis: Net PnL +1.52% trên vốn ≥ ngưỡng +1.50%,False
XRPUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-12-08 16:00,2023-12-31 22:00,1702051200000,1704060000000,23.25,69,11.98,6.54,1263.7285,27.1577,-155.0,1135.8862,1.5145,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
DOGEUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-12-10 08:00,2024-01-15 22:00,1702195200000,1705356000000,36.583,109,12.09,0.0,1224.979,60.4717,-155.0,1130.4507,1.5073,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
SUIUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-12-12 08:00,2024-01-15 17:00,1702368000000,1705338000000,34.375,103,10.75,-1.41,1228.39,60.7758,-150.0,1139.1658,1.5189,take_profit,Chốt lời hội tụ Basis: Net PnL +1.52% trên vốn ≥ ngưỡng +1.50%,False
SOLUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-12-17 08:00,2024-01-23 02:00,1702800000000,1705975200000,36.75,110,10.43,-4.56,1207.4965,74.9635,-155.0,1127.46,1.5033,take_profit,Chốt lời hội tụ Basis: Net PnL +1.50% trên vốn ≥ ngưỡng +1.50%,False
LTCUSDT,bybit_futures,bybit_spot,BYB-F ← BYB-S,False,2023-12-17 08:00,2024-01-22 01:00,1702800000000,1705885200000,35.708,107,6.8,0.0,1250.0865,34.0229,-155.0,1129.1094,1.5055,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
NEARUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2023-12-18 00:00,2024-01-28 21:00,1702857600000,1706475600000,41.875,125,8.82,-10.26,1183.857,95.4107,-150.0,1129.2677,1.5057,take_profit,Chốt lời hội tụ Basis: Net PnL +1.51% trên vốn ≥ ngưỡng +1.50%,False
