symbol,perp_source,spot_source,window_from_ms,window_to_ms,window_days,covered_days,min_rate_per_8h_bps,persistence_periods,min_net_apr_frac,exit_net_apr_frac,exit_persistence_periods,exit_negative_min_bps,exit_negative_periods,exit_negative_cum_cost_frac,min_hold_recovered_cost_frac,notional_quote,holding_days,round_trip_cost_pct,cost_book_sampled_at_ms,settlements,trades,periods_in_position,total_return_frac,realized_apr_frac,max_drawdown_frac,capital_per_notional_frac,total_return_on_capital_frac,realized_apr_on_capital_frac,funding_reversals,positive_funding_period_share,dropped_special,basis_not_evaluable,basis_evaluable,entered_without_basis,liquidations,perp_margin_frac,min_liquidation_buffer_pct,max_basis_pct,max_basis_widen_pct,min_trailing_mean_bps,trailing_mean_days,trailing_mean_min_cost_frac,coverage_short,ok,reason_vi,assumptions_vi
BTCUSDT,binance_futures,binance_spot,1694856033517,1789550433517,1096,1096.0000000231482,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.3010521203638598,1789548622867,3288,1,3170,0.21663658879635844,0.07214630922354084,0.0041246300000001845,2,0.10831829439817922,0.03607315461177042,439,0.8605678233438486,0,0,3288,0,0,0,0,2,2,0,0,0,false,true,,"Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / binance_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
BTCUSDT,bybit_futures,binance_spot,1694856033517,1789550433517,1096,1096,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.3110488671157599,1789548622867,3288,1,3277,0.2229846013288384,0.07426038274181206,0.0031104886711575963,2,0.1114923006644192,0.03713019137090603,604,0.824839792493134,0,0,3288,0,0,0,0,2,2,0,0,0,false,true,,"Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / bybit_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
BTCUSDT,hyperliquid_futures,binance_spot,1694856033517,1789550433517,1096,364.99999967592595,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.2929921428686426,1789548622867,8760,1,8754,0.05635201537130943,0.05635201542134293,0.0029299214286864286,2,0.028176007685654716,0.028176007710671466,768,0.8094585332419465,0,3749,5005,1,0,0,0,2,2,0,0,0,true,true,,"CHÂN SPOT KHÁC QUOTE: spot quote USDT ghép với perp quote USD theo khai báo hedge.quote_equivalents. Vị thế trung tính về coin nhưng CÒN MỞ rủi ro USDT/USD — không con số nào ở đây trừ khoản đó, và funding thu được tính bằng USD trong khi vốn spot nằm ở USDT. | Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / hyperliquid_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. LƯU Ý chuỗi khác quote: basis đo được ở đây là basis theo coin CỘNG chênh USD/USDT, nên lối thoát basis trên chuỗi này một phần đang canh đúng rủi ro quote chưa ai trừ. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
BTCUSDT,kraken_futures,binance_spot,1694856033517,1789550433517,1096,365,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.3023806578387396,1789548622867,8752,1,8746,0.029209672219804486,0.029209672219804486,0.005029556305992222,2,0.014604836109902243,0.014604836109902243,982,0.6958609650125772,0,212,8539,0,0,0,0,2,2,0,0,0,true,true,,"CHÂN SPOT KHÁC QUOTE: spot quote USDT ghép với perp quote USD theo khai báo hedge.quote_equivalents. Vị thế trung tính về coin nhưng CÒN MỞ rủi ro USDT/USD — không con số nào ở đây trừ khoản đó, và funding thu được tính bằng USD trong khi vốn spot nằm ở USDT. | Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / kraken_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. LƯU Ý chuỗi khác quote: basis đo được ở đây là basis theo coin CỘNG chênh USD/USDT, nên lối thoát basis trên chuỗi này một phần đang canh đúng rủi ro quote chưa ai trừ. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
BTCUSDT,okx_futures,binance_spot,1694856033517,1789550433517,1096,105.33333333333333,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.3012516775787309,1789548622867,316,1,240,0.00965783407849688,0.03346622884795596,0.003012516775787309,2,0.00482891703924844,0.01673311442397798,50,0.9375,0,27,289,0,0,0,0,2,2,0,0,0,true,true,,"Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / okx_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
BTCUSDT,gate_futures,binance_spot,1694856033517,1789550433517,1096,191.33333333333334,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.3016344614117505,1789548622867,574,1,334,0.00870265538588249,0.016601755483521472,0.0030163446141175058,2,0.004351327692941245,0.008300877741760736,135,0.8293413173652695,0,27,547,0,0,0,0,2,2,0,0,0,true,true,,"Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / gate_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
BTCUSDT,paradex_futures,binance_spot,1694856033517,1789550433517,1096,0,0.3,6,0.02,0,48,2,2,1,1,50000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,false,false,"paradex_futures/BTCUSDT là chuỗi model='continuous' — hàng của nó là MẪU chỉ số funding theo giờ, không phải mốc settle. Engine này đếm settle nên từ chối, thay vì ghi khống 8.760 kỳ/năm.","CHÂN SPOT KHÁC QUOTE: spot quote USDT ghép với perp quote USD theo khai báo hedge.quote_equivalents. Vị thế trung tính về coin nhưng CÒN MỞ rủi ro USDT/USD — không con số nào ở đây trừ khoản đó, và funding thu được tính bằng USD trong khi vốn spot nằm ở USDT. | Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / paradex_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis KHÔNG đánh giá được: chuỗi này chưa có nến giá cho cả hai chân (price_history). Chạy `go run ./cmd/backfill -prices` rồi phát lại. Xem BasisNotEvaluable. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
ETHUSDT,binance_futures,binance_spot,1694856033517,1789550433517,1096,1096.0000000231482,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.3050999941304654,1789548622867,3288,1,3224,0.22272673005869137,0.0741745040781983,0.005974969999999941,2,0.11136336502934568,0.03708725203909915,479,0.8542183622828784,0,0,3288,0,0,0,0,2,2,0,0,0,false,true,,"Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / binance_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
ETHUSDT,bybit_futures,binance_spot,1694856033517,1789550433517,1096,1096,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.31528431417414804,1789548622867,3288,1,3254,0.2228188268582545,0.07420517500297709,0.003375463141741475,2,0.11140941342912725,0.037102587501488545,646,0.809157959434542,0,0,3288,0,0,0,0,2,2,0,0,0,false,true,,"Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / bybit_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
ETHUSDT,hyperliquid_futures,binance_spot,1694856033517,1789550433517,1096,364.99999967592595,0.3,6,0.02,0,48,2,2,1,1,50000,90,0.2987918615511164,1789548622867,8760,1,8754,0.05872958118448444,0.05872958123662891,0.003017757915511156,2,0.02936479059224222,0.029364790618314453,755,0.8319625314142106,0,3749,5005,1,0,0,0,2,2,0,0,0,true,true,,"CHÂN SPOT KHÁC QUOTE: spot quote USDT ghép với perp quote USD theo khai báo hedge.quote_equivalents. Vị thế trung tính về coin nhưng CÒN MỞ rủi ro USDT/USD — không con số nào ở đây trừ khoản đó, và funding thu được tính bằng USD trong khi vốn spot nằm ở USDT. | Chi phí vào/ra định giá trên MỘT phép đo sổ lệnh (binance_spot / hyperliquid_futures), giữ CỐ ĐỊNH suốt cửa sổ — độ sâu không backfill được, nên đây là tham số được NÊU chứ không phải đo từ quá khứ. | Sổ lệnh hôm nay không đại diện cho sổ lúc thị trường căng — mà đó đúng là lúc funding đảo chiều và vị thế phải thoát (PLAN §7.4 mục 2). Chi phí thoát thực tế cao hơn con số này. | Điều kiện thoát theo basis ĐƯỢC đánh giá từ nến 1h đã lưu (price_history). Giá dùng là nến ĐÃ ĐÓNG gần nhất tại hoặc trước mốc settle — không phải nến đang chứa mốc đó, vì giá đóng của nến ấy nằm ở TƯƠNG LAI so với quyết định — nên nó cũ tối đa 1 giờ. Chân nào không có nến trong 2 chu kỳ thì mốc đó vẫn báo không đánh giá được. Xem BasisEvaluable / BasisNotEvaluable. LƯU Ý chuỗi khác quote: basis đo được ở đây là basis theo coin CỘNG chênh USD/USDT, nên lối thoát basis trên chuỗi này một phần đang canh đúng rủi ro quote chưa ai trừ. | Giả định giữ 90 ngày để khấu hao chi phí, vốn 50000 mỗi vị thế, không tái đầu tư lãi. | Quyết định chạy trên mốc ĐÃ SETTLE, nên khi funding đảo dấu vị thế luôn TRẢ mốc âm đầu tiên rồi mới thoát ở đúng mốc đó — 'thoát ngay' nghĩa là ngay mốc kế, không phải trước nó. | Đường equity ghi nhận toàn bộ chi phí vòng lúc ĐÓNG; trong lúc giữ nó là số thô của một khoản chắc chắn phải trả. Lệnh vào ở mốc cuối cửa sổ bị đóng cưỡng bức với 0 kỳ funding và trọn phí — cố ý, thận trọng. | CỔNG GIỮ TỐI THIỂU 1.00× chi phí vòng: hai lối thoát vì LỢI SUẤT (đảo dấu, suy giảm) bị chặn cho tới khi vị thế hoàn lại chừng đó chi phí vào/ra. Lối thoát vì RỦI RO (mất chân hedge, basis vượt hạn, không định giá được) KHÔNG bị chặn. Nên một phần số kỳ giữ dưới đây là giữ NGƯỢC lại phán quyết của chính luật."
