symbol,perp_source,spot_source,min_rate_per_8h_bps,persistence_periods,min_net_apr_frac,exit_net_apr_frac,exit_persistence_periods,exit_negative_min_bps,exit_negative_periods,exit_negative_cum_cost_frac,min_hold_recovered_cost_frac,notional_quote,holding_days,open_at_ms,close_at_ms,held_days,settlements,funding_frac,cost_frac,net_frac,exit_reason_vi,max_basis_pct,max_basis_widen_pct,min_trailing_mean_bps,trailing_mean_days,trailing_mean_min_cost_frac
BTCUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1698249600001,1789545600002,1056.6666666782407,3170,0.21964710999999704,0.003010521203638598,0.21663658879635844,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BTCUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695168000000,1789545600000,1092.3333333333333,3277,0.226095089999996,0.003110488671157599,0.2229846013288384,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BTCUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1789545600035,364.75000019675923,8754,0.05928193679999586,0.002929921428686426,0.05635201537130943,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BTCUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200000,1789545600000,364.75,8746,0.032233478798191884,0.0030238065783873957,0.029209672219804486,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BTCUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1782633600000,1789545600000,80,240,0.012670350854284189,0.0030125167757873088,0.00965783407849688,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BTCUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1779926401000,1789545600000,111.33332175925926,334,0.011718999999999995,0.003016344614117505,0.00870265538588249,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
ETHUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1696694400000,1789545600002,1074.6666666898147,3224,0.225777729999996,0.003050999941304654,0.22272673005869137,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
ETHUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695830400000,1789545600000,1084.6666666666667,3254,0.22597166999999596,0.0031528431417414803,0.2228188268582545,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
ETHUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1789545600035,364.75000019675923,8754,0.0617174997999956,0.002987918615511164,0.05872958118448444,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
ETHUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200000,1789545600000,364.75,8746,0.02944543756760731,0.0030960913106309524,0.026349346256976356,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
