profile,profile_name,year,days,calendar_return,annualised_if_partial
risk20,20% target-vol,2021,184,-0.024723540690186452,-0.04847987950537158
risk20,20% target-vol,2022,365,0.18506487047979991,0.18520270114614368
risk20,20% target-vol,2023,365,0.4521203722382281,0.4524914312353905
risk20,20% target-vol,2024,366,0.32434435988587795,0.32358221958662736
risk20,20% target-vol,2025,365,0.21146137767273743,0.21162056036502253
risk20,20% target-vol,2026,181,0.20027205731246056,0.4453829316212419
risk24,24% target-vol,2021,184,-0.029762088974346956,-0.0582132117444637
risk24,24% target-vol,2022,365,0.22172371016091108,0.22189130092591602
risk24,24% target-vol,2023,365,0.532384143816532,0.5328321952892057
risk24,24% target-vol,2024,366,0.4025569338164703,0.4015849741619937
risk24,24% target-vol,2025,365,0.24741767291175276,0.2476065732074466
risk24,24% target-vol,2026,181,0.25118357766344057,0.57177200068663
