profile,profile_name,month,campaign_entries,campaign_exits,direction_flips,resize_orders,all_order_events,one_way_turnover,mean_gross_exposure,max_gross_exposure,active_bar_share
risk20,20% target-vol,2024-01,5,4,0,78,87,2.8920288190491616,0.08139069716994199,0.46587388062501695,0.40860215053763443
risk20,20% target-vol,2024-02,7,8,0,240,255,4.952611620645958,0.30518597474071973,0.5400988890709673,0.8908045977011494
risk20,20% target-vol,2024-03,5,5,0,24,34,0.7855608593842179,0.011216972068967936,0.14486356935453654,0.15053763440860216
risk20,20% target-vol,2024-04,13,11,0,79,103,5.182023435499761,0.05405873985041991,0.42716133843744225,0.36666666666666664
risk20,20% target-vol,2024-05,8,9,0,233,250,5.75429597296932,0.2450599485166355,0.9518241295566761,0.9032258064516129
risk20,20% target-vol,2024-06,7,6,0,111,124,4.404092257201132,0.1887963929699076,0.5216145299226612,0.5833333333333334
risk20,20% target-vol,2024-07,21,22,0,144,187,10.427444965655607,0.1885197692319104,1.0,0.6451612903225806
risk20,20% target-vol,2024-08,12,12,0,130,154,5.019512265487945,0.12185705233477391,0.4411314065391859,0.5591397849462365
risk20,20% target-vol,2024-09,11,11,0,114,136,4.677046367155738,0.09100506118039829,0.3575051299382243,0.5833333333333334
risk20,20% target-vol,2024-10,16,15,0,231,262,7.943361200133506,0.3135209567114511,1.0,0.8655913978494624
risk20,20% target-vol,2024-11,8,10,0,122,140,4.798584886302404,0.1220659795629333,0.4792004459205708,0.5444444444444444
risk20,20% target-vol,2024-12,5,4,0,49,58,1.4012139943546593,0.06658089353085904,0.41734874771980796,0.25268817204301075
risk20,20% target-vol,2025-01,19,18,0,186,223,7.309604672614251,0.20204567994378775,0.5739774614013353,0.8064516129032258
risk20,20% target-vol,2025-02,17,17,0,110,144,8.041556384826716,0.14080529374978576,0.5798412328321461,0.5476190476190477
risk20,20% target-vol,2025-03,8,8,0,134,150,2.556638002490945,0.07187995961272893,0.2765191240194194,0.4838709677419355
risk20,20% target-vol,2025-04,8,9,0,76,93,3.2082206743421944,0.07584757246943738,0.41204940990818817,0.4222222222222222
risk20,20% target-vol,2025-05,11,12,0,179,202,5.534626279410235,0.1573316848008092,0.4877250325882766,0.7634408602150538
risk20,20% target-vol,2025-06,16,14,0,124,154,6.445712279556528,0.1673599188850385,0.583980636480478,0.5944444444444444
risk20,20% target-vol,2025-07,8,9,0,209,226,5.61703919284027,0.23311739577677215,0.5460634090229447,0.8387096774193549
risk20,20% target-vol,2025-08,5,6,0,96,107,1.761406345461297,0.08541267428643909,0.4688842649967773,0.41935483870967744
risk20,20% target-vol,2025-09,16,14,0,104,134,7.150742572493215,0.1454004433172117,0.7035269191081276,0.6333333333333333
risk20,20% target-vol,2025-10,11,12,0,321,344,8.11488523574696,0.42036433026183273,0.7230999579137121,1.0
risk20,20% target-vol,2025-11,8,9,0,249,266,5.845216119389297,0.25346787159990003,0.4834735734947138,0.85
risk20,20% target-vol,2025-12,10,10,0,129,149,3.906360823121564,0.07916450466865235,0.4941478549124961,0.4731182795698925
risk20,20% target-vol,2026-01,18,16,1,158,191,8.724471062133196,0.18113141128407262,0.5335586539242562,0.6505376344086021
risk20,20% target-vol,2026-02,11,12,0,163,186,3.4448436418071537,0.12000521955723412,0.4322254686085096,0.7380952380952381
risk20,20% target-vol,2026-03,7,7,0,84,98,1.738360423358326,0.06424852970840174,0.3840250903839265,0.3118279569892473
risk20,20% target-vol,2026-04,9,9,0,216,234,6.45252251866801,0.27340537886195176,0.46029389805687393,0.8833333333333333
risk20,20% target-vol,2026-05,9,8,0,241,258,6.61793146402608,0.3446808022973867,0.6343709865026136,0.9731182795698925
risk20,20% target-vol,2026-06,5,5,0,235,245,3.823504146651392,0.3449057420921914,0.6208502574407844,0.9944444444444445
risk24,24% target-vol,2024-01,5,4,0,76,85,3.278495886006063,0.0917565710208281,0.541495249430779,0.3978494623655914
risk24,24% target-vol,2024-02,7,8,0,240,255,5.898493070181077,0.3615234586897472,0.6481186668851608,0.8908045977011494
risk24,24% target-vol,2024-03,5,5,0,24,34,0.906469911267349,0.01326676186463074,0.17383628322544384,0.15053763440860216
risk24,24% target-vol,2024-04,13,11,0,79,103,5.834119484908722,0.06268651634850507,0.4297480490649701,0.36666666666666664
risk24,24% target-vol,2024-05,7,8,0,224,239,6.311835471540752,0.2880051215940308,0.958855622134678,0.8494623655913979
risk24,24% target-vol,2024-06,7,6,0,111,124,5.104946200163163,0.22169998326331838,0.6165774547911219,0.5833333333333334
risk24,24% target-vol,2024-07,21,22,0,144,187,11.850029438629285,0.21767897083521248,1.0,0.6451612903225806
risk24,24% target-vol,2024-08,12,12,0,130,154,5.913925828002698,0.14410158237407195,0.5156102385761058,0.5591397849462365
risk24,24% target-vol,2024-09,11,11,0,114,136,5.244784451004861,0.10030532867438986,0.4290061559258691,0.5833333333333334
risk24,24% target-vol,2024-10,16,15,0,231,262,9.505368814898109,0.36762299751610683,1.0,0.8655913978494624
risk24,24% target-vol,2024-11,8,10,0,122,140,5.486825748334095,0.13768907066913266,0.524107748477589,0.5444444444444444
risk24,24% target-vol,2024-12,5,4,0,49,58,1.6532613654658481,0.07981518759067445,0.5008184972637695,0.25268817204301075
risk24,24% target-vol,2025-01,19,18,0,181,218,8.375114594001804,0.23274643089458544,0.6659403673480776,0.7849462365591398
risk24,24% target-vol,2025-02,17,17,0,110,144,9.305100910793186,0.1641692918299064,0.6299831713672811,0.5476190476190477
risk24,24% target-vol,2025-03,8,8,0,134,150,3.0124351791606023,0.08551891594026041,0.3318229488233032,0.4838709677419355
risk24,24% target-vol,2025-04,9,10,0,68,87,3.5783044449226784,0.08624582116335199,0.40350837011769847,0.38333333333333336
risk24,24% target-vol,2025-05,11,12,0,179,202,6.442310274036014,0.18403242762786168,0.5852700391059321,0.7634408602150538
risk24,24% target-vol,2025-06,16,14,0,124,154,7.703358168164537,0.2007086771984088,0.7007767637765735,0.5944444444444444
risk24,24% target-vol,2025-07,8,9,0,209,226,6.6136975667693125,0.27666106784126016,0.6552760908275336,0.8387096774193549
risk24,24% target-vol,2025-08,5,6,0,91,102,1.998142987786634,0.09685880467565933,0.5569034497692715,0.3924731182795699
risk24,24% target-vol,2025-09,16,14,0,102,132,8.30878365943049,0.1691989630520825,0.8442323029297528,0.6222222222222222
risk24,24% target-vol,2025-10,11,12,0,321,344,9.62779338044744,0.5041320190726164,0.8677199494964547,1.0
risk24,24% target-vol,2025-11,8,9,0,249,266,6.930245439887739,0.30249014002292834,0.5801682881936565,0.85
risk24,24% target-vol,2025-12,10,10,0,129,149,4.480324655750756,0.09365910655669656,0.5529523958003071,0.4731182795698925
risk24,24% target-vol,2026-01,18,16,1,158,191,10.33540877875432,0.21716908194449497,0.6402703847091075,0.6505376344086021
risk24,24% target-vol,2026-02,11,12,0,163,186,4.087335214891201,0.14028824073472382,0.5186705623302114,0.7380952380952381
risk24,24% target-vol,2026-03,7,7,0,84,98,2.052701838259767,0.07691107396370314,0.4608301084607117,0.3118279569892473
risk24,24% target-vol,2026-04,9,10,0,210,229,7.595426670727537,0.3227377996045036,0.5523526776682486,0.85
risk24,24% target-vol,2026-05,9,7,0,241,257,7.808260980771015,0.40636597275963515,0.7612451838031361,0.9731182795698925
risk24,24% target-vol,2026-06,5,5,0,235,245,4.352471036920241,0.4016980241182188,0.745020308928941,0.9944444444444445
