scenario,lookback,entry_z,exit_z,target_vol,max_gross,fee,lag_bars,offset_hours,side,include_funding,use_trend_filter,trend_horizon_days,trend_required,turnover,active_share,mean_active_gross,realised_full_vol,dev_cagr,dev_max_dd,dev_sharpe,dev_calmar,dev_multiple,oos_cagr,oos_max_dd,oos_sharpe,oos_calmar,oos_multiple,full_cagr,full_max_dd,full_sharpe,full_calmar,full_multiple
ensemble_core,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
strategy_inverse,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.15061612874629546,-0.2653861325877175,-0.5562556161961698,-2.0798177970776104,-0.477093848332717,0.4621968001190677,-0.33576664082290886,-0.6441365188440276,-2.5132720482048567,-0.5212662704258382,0.35963546690750864,-0.30144296180942975,-0.840054261202381,-2.3044733913821087,-0.35883748911406077,0.16622236201397775
single_core,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,340.11747090163,0.46828511453865107,0.49657052675675634,0.18546310053527976,0.37992590912207613,-0.10092568678469738,1.8963045545055754,3.7644124229004654,2.238589505716484,0.3297229053379491,-0.13933275319685767,1.57552391542077,2.366442188019473,2.0387337835866783,0.3546055917752544,-0.13933275319685812,1.7288984135350831,2.545026805536852,4.563888052886791
trend_none_crowding_only,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,False,"30,60,120",2,448.9304758787849,0.941042256091996,0.3604028442979776,0.1883444167064735,0.3188852245364835,-0.13048251362285446,1.6384843776287255,2.4438924088953913,1.9989663226161878,0.23378799773958292,-0.19901844795229784,1.1610791121868498,1.1747051599740086,1.690713916582412,0.2756504874461554,-0.19901844795229762,1.3863902701446944,1.3850499302065986,3.379680180426754
trend_single_15d,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,15,1,443.59261877737293,0.7410787624349731,0.3374439720975515,0.1695807570856797,0.23067048426480619,-0.14073759268596298,1.3504894417989974,1.6390111544647235,1.6810104278162747,0.23621877268663694,-0.13555085015997725,1.2953731172353857,1.7426579944563334,1.699052575451262,0.23343999039073404,-0.14073759268596298,1.3215106876309959,1.6586896644709848,2.8561250967416805
trend_single_30d,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,30,1,364.8757145568948,0.6613124030300265,0.32206055601017186,0.16038604423887431,0.28216061383145297,-0.09932649243300018,1.6975128355467872,2.840738728610415,1.86257885620334,0.37554871022287095,-0.0902372846979349,1.9901328470667448,4.161790899183223,2.218924596093782,0.32800847540941547,-0.09932649243300018,1.8487318475937549,3.3023261707411113,4.132922036193821
trend_single_60d,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,60,1,298.1128671067064,0.574062243314776,0.3074792684875649,0.14473105236217107,0.21403968371822102,-0.12271025593118656,1.4801381025395075,1.7442689047788325,1.624740465922075,0.3174330612946654,-0.07900029830130884,1.892145790442883,4.018124844085637,1.9919591139477988,0.2646519157191849,-0.12271025593118656,1.6944521997628141,2.1567220580779844,3.2364165788932713
trend_single_120d,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,120,1,245.5639774639212,0.5318974171762344,0.307215362400361,0.13706607637527052,0.17516148786050456,-0.10006774946562791,1.3446661889041365,1.7504289723300959,1.4976550769974035,0.25451304265112396,-0.155315688563195,1.6111016890990648,1.638682125454232,1.7626019686090573,0.21416748784604933,-0.15531568856319433,1.4839896939471917,1.378917286639138,2.6397697870129737
trend_single_200d,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,200,1,251.40011624773234,0.5460436250798576,0.28043201321645256,0.12596122826247624,0.2088126046516281,-0.0707845241736903,1.6993886312731201,2.9499753948934657,1.6072918792223088,0.16610359939978148,-0.18554717558872602,1.199877716147675,0.8952095275648811,1.46831758538385,0.1872777612156522,-0.1855471755887259,1.425485663832291,1.0093269305848245,2.360014931106773
trend_vote_15_30_60_r2,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"15,30,60",2,382.2840064318764,0.6792005110888016,0.3276014814118655,0.16330508914569458,0.31328661965132065,-0.11232598817213124,1.8200752344479485,2.7890840289891967,1.977799865935221,0.3451530636106037,-0.08768855104112239,1.829023997177616,3.936124608202739,2.0983850960869996,0.3291156225132599,-0.11232598817213124,1.8236470170949715,2.930004248072268,4.150185761721341
trend_vote_30_60_120_r2,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
