profile,symbol,side,start,end,bars,gross_contribution,cost,net_contribution,profile_name,sample,holding_days,entry_weight,average_abs_weight,maximum_abs_weight,status,result
risk20,BTC,long,2021-09-03 20:00:00+00:00,2021-09-04 04:00:00+00:00,3,-0.0006759468799431572,6.560499418691997e-05,-0.0007415518741300771,20% target-vol,development,0.5,0.06432279138064746,0.054170912614759266,0.06560499418691997,closed,loss
risk24,BTC,long,2021-09-03 20:00:00+00:00,2021-09-04 04:00:00+00:00,3,-0.0008111362559317884,7.872599302430394e-05,-0.0008898622489560923,24% target-vol,development,0.5,0.07718734965677695,0.06500509513771112,0.07872599302430394,closed,loss
risk20,BTC,long,2021-09-06 00:00:00+00:00,2021-09-07 20:00:00+00:00,12,-0.013351848775582383,0.0003656306926814351,-0.013717479468263818,20% target-vol,development,2.0,0.07081632606450587,0.294258984507401,0.36371446732598806,closed,loss
risk24,BTC,long,2021-09-06 00:00:00+00:00,2021-09-07 20:00:00+00:00,12,-0.016022218530698854,0.0004387568312177227,-0.016460975361916576,24% target-vol,development,2.0,0.08497959127740705,0.3531107814088812,0.43645736079118563,closed,loss
risk20,BTC,long,2021-09-15 20:00:00+00:00,2021-09-16 20:00:00+00:00,7,-0.0005092167514497514,2.9602014444547865e-05,-0.0005388187658942993,20% target-vol,development,1.1666666666666667,0.028595066961801318,0.02882212011557375,0.029600838300673147,closed,loss
risk24,BTC,long,2021-09-15 20:00:00+00:00,2021-09-16 20:00:00+00:00,7,-0.0006110601017397015,3.552241733345744e-05,-0.000646582519073159,24% target-vol,development,1.1666666666666667,0.03431408035416157,0.03458654413868849,0.03552100596080777,closed,loss
risk20,BTC,long,2021-09-18 16:00:00+00:00,2021-09-19 04:00:00+00:00,4,-0.0003948037196238044,5.234122231970307e-05,-0.0004471449419435075,20% target-vol,development,0.6666666666666666,0.052265773515931806,0.045798937769396905,0.05234122231970307,closed,loss
risk24,BTC,long,2021-09-18 16:00:00+00:00,2021-09-19 04:00:00+00:00,4,-0.0004737644635485653,6.280946678364368e-05,-0.000536573930332209,24% target-vol,development,0.6666666666666666,0.06271892821911816,0.054958725323276274,0.06280946678364369,closed,loss
risk20,BTC,short,2021-09-29 04:00:00+00:00,2021-09-29 04:00:00+00:00,1,-0.0040059144810716835,0.00014181902543591586,-0.0041477335065075996,20% target-vol,development,0.16666666666666666,-0.14181902543591585,0.14181902543591585,0.14181902543591585,closed,loss
risk24,BTC,short,2021-09-29 04:00:00+00:00,2021-09-29 04:00:00+00:00,1,-0.00480709737728602,0.00017018283052309903,-0.004977280207809119,24% target-vol,development,0.16666666666666666,-0.17018283052309902,0.17018283052309902,0.17018283052309902,closed,loss
risk20,BTC,short,2021-09-30 00:00:00+00:00,2021-09-30 00:00:00+00:00,1,-0.0009332282019892747,0.0001150885731328662,-0.001048316775122141,20% target-vol,development,0.16666666666666666,-0.1150885731328662,0.1150885731328662,0.1150885731328662,closed,loss
risk24,BTC,short,2021-09-30 00:00:00+00:00,2021-09-30 00:00:00+00:00,1,-0.0011198738423871296,0.00013810628775943944,-0.001257980130146569,24% target-vol,development,0.16666666666666666,-0.13810628775943945,0.13810628775943945,0.13810628775943945,closed,loss
risk20,BTC,long,2021-10-06 00:00:00+00:00,2021-10-06 00:00:00+00:00,1,0.0005826221008428701,0.00017916599392742597,0.0004034561069154441,20% target-vol,development,0.16666666666666666,0.17916599392742596,0.17916599392742596,0.17916599392742596,closed,win
risk24,BTC,long,2021-10-06 00:00:00+00:00,2021-10-06 00:00:00+00:00,1,0.0006991465210114442,0.0002149991927129112,0.000484147328298533,24% target-vol,development,0.16666666666666666,0.2149991927129112,0.2149991927129112,0.2149991927129112,closed,win
risk20,BTC,long,2021-10-06 20:00:00+00:00,2021-10-08 16:00:00+00:00,12,-0.0031477647905678507,0.0001754727134632026,-0.003323237504031053,20% target-vol,development,2.0,0.17109183273555797,0.11190871491523037,0.17470921521145807,closed,loss
risk24,BTC,long,2021-10-06 20:00:00+00:00,2021-10-08 16:00:00+00:00,12,-0.003777317748681421,0.00021056725615584314,-0.003987885004837264,24% target-vol,development,2.0,0.20531019928266955,0.13429045789827646,0.20965105825374963,closed,loss
risk20,BTC,long,2021-10-11 12:00:00+00:00,2021-10-13 12:00:00+00:00,13,-0.004770478941450937,0.00014419581981355494,-0.004914674761264492,20% target-vol,development,2.1666666666666665,0.04909033516504197,0.09828354651887918,0.14393301777205128,closed,loss
risk24,BTC,long,2021-10-11 12:00:00+00:00,2021-10-13 12:00:00+00:00,13,-0.005724574729741125,0.00017303498377626593,-0.005897609713517391,24% target-vol,development,2.1666666666666665,0.05890840219805037,0.117940255822655,0.17271962132646154,closed,loss
risk20,BTC,long,2021-10-14 04:00:00+00:00,2021-10-16 16:00:00+00:00,16,0.0074665920082254995,0.00021074817320140195,0.007255843835024097,20% target-vol,development,2.6666666666666665,0.026266918661500365,0.11446837143348612,0.18616198757349026,closed,win
